# wavelength (microns), QE
15.3400,0.7095
15.3600,0.7089
15.3800,0.7084
15.4000,0.7078
15.4200,0.7072
15.4400,0.7067
15.4600,0.7061
15.4800,0.7056
15.5000,0.7050
15.5200,0.7037
15.5400,0.7024
15.5600,0.7010
15.5800,0.6997
15.6000,0.6984
15.6200,0.6971
15.6400,0.6958
15.6600,0.6944
15.6800,0.6931
15.7000,0.6918
15.7200,0.6905
15.7400,0.6892
15.7600,0.6878
15.7800,0.6865
15.8000,0.6852
15.8200,0.6839
15.8400,0.6826
15.8600,0.6812
15.8800,0.6799
15.9000,0.6786
15.9200,0.6773
15.9400,0.6760
15.9600,0.6746
15.9800,0.6733
16.0000,0.6720
16.0200,0.6728
16.0400,0.6735
16.0600,0.6743
16.0800,0.6750
16.1000,0.6758
16.1200,0.6766
16.1400,0.6773
16.1600,0.6781
16.1800,0.6788
16.2000,0.6796
16.2200,0.6804
16.2400,0.6811
16.2600,0.6819
16.2800,0.6826
16.3000,0.6834
16.3200,0.6842
16.3400,0.6849
16.3600,0.6857
16.3800,0.6864
16.4000,0.6872
16.4200,0.6880
16.4400,0.6887
16.4600,0.6895
16.4800,0.6902
16.5000,0.6910
16.5200,0.6922
16.5400,0.6935
16.5600,0.6947
16.5800,0.6960
16.6000,0.6972
16.6200,0.6984
16.6400,0.6997
16.6600,0.7009
16.6800,0.7022
16.7000,0.7034
16.7200,0.7046
16.7400,0.7059
16.7600,0.7071
16.7800,0.7084
16.8000,0.7096
16.8200,0.7108
16.8400,0.7121
16.8600,0.7133
16.8800,0.7146
16.9000,0.7158
16.9200,0.7170
16.9400,0.7183
16.9600,0.7195
16.9800,0.7208
17.0000,0.7220
17.0200,0.7206
17.0400,0.7193
17.0600,0.7179
17.0800,0.7166
17.1000,0.7152
17.1200,0.7138
17.1400,0.7125
17.1600,0.7111
17.1800,0.7098
17.2000,0.7084
17.2200,0.7070
17.2400,0.7057
17.2600,0.7043
17.2800,0.7030
17.3000,0.7016
17.3200,0.7002
17.3400,0.6989
17.3600,0.6975
17.3800,0.6962
17.4000,0.6948
17.4200,0.6934
17.4400,0.6921
17.4600,0.6907
17.4800,0.6894
17.5000,0.6880
17.5200,0.6862
17.5400,0.6844
17.5600,0.6826
17.5800,0.6808
17.6000,0.6790
17.6200,0.6772
17.6400,0.6754
17.6600,0.6736
17.6800,0.6718
17.7000,0.6700
17.7200,0.6682
17.7400,0.6664
17.7600,0.6646
17.7800,0.6628
17.8000,0.6610
17.8200,0.6592
17.8400,0.6574
17.8600,0.6556
17.8800,0.6538
17.9000,0.6520
17.9200,0.6502
17.9400,0.6484
17.9600,0.6466
17.9800,0.6448
18.0000,0.6430
18.0200,0.6428
18.0400,0.6425
18.0600,0.6423
18.0800,0.6420
18.1000,0.6418
18.1200,0.6416
18.1400,0.6413
18.1600,0.6411
18.1800,0.6408
18.2000,0.6406
18.2200,0.6404
18.2400,0.6401
18.2600,0.6399
18.2800,0.6396
18.3000,0.6394
18.3200,0.6392
18.3400,0.6389
18.3600,0.6387
18.3800,0.6384
18.4000,0.6382
18.4200,0.6380
18.4400,0.6377
18.4600,0.6375
18.4800,0.6372
18.5000,0.6370
18.5200,0.6357
18.5400,0.6344
18.5600,0.6332
18.5800,0.6319
18.6000,0.6306
18.6200,0.6293
18.6400,0.6280
18.6600,0.6268
18.6800,0.6255
18.7000,0.6242
18.7200,0.6229
18.7400,0.6216
18.7600,0.6204
18.7800,0.6191
18.8000,0.6178
18.8200,0.6165
18.8400,0.6152
18.8600,0.6140
18.8800,0.6127
18.9000,0.6114
18.9200,0.6101
18.9400,0.6088
18.9600,0.6076
18.9800,0.6063
19.0000,0.6050
19.0200,0.6049
19.0400,0.6048
19.0600,0.6046
19.0800,0.6045
19.1000,0.6044
19.1200,0.6043
19.1400,0.6042
19.1600,0.6040
19.1800,0.6039
19.2000,0.6038
19.2200,0.6037
19.2400,0.6036
19.2600,0.6034
19.2800,0.6033
19.3000,0.6032
19.3200,0.6031
19.3400,0.6030
19.3600,0.6028
19.3800,0.6027
19.4000,0.6026
19.4200,0.6025
19.4400,0.6024
19.4600,0.6022
19.4800,0.6021
19.5000,0.6020
19.5200,0.6005
19.5400,0.5990
19.5600,0.5974
19.5800,0.5959
19.6000,0.5944
19.6200,0.5929
19.6400,0.5914
19.6600,0.5898
19.6800,0.5883
19.7000,0.5868
19.7200,0.5853
19.7400,0.5838
19.7600,0.5822
19.7800,0.5807
19.8000,0.5792
19.8200,0.5777
19.8400,0.5762
19.8600,0.5746
19.8800,0.5731
19.9000,0.5716
19.9200,0.5701
19.9400,0.5686
19.9600,0.5670
19.9800,0.5655
20.0000,0.5640
20.0200,0.5645
20.0400,0.5650
20.0600,0.5654
20.0800,0.5659
20.1000,0.5664
20.1200,0.5669
20.1400,0.5674
20.1600,0.5678
20.1800,0.5683
20.2000,0.5688
20.2200,0.5693
20.2400,0.5698
20.2600,0.5702
20.2800,0.5707
20.3000,0.5712
20.3200,0.5717
20.3400,0.5722
20.3600,0.5726
20.3800,0.5731
20.4000,0.5736
20.4200,0.5741
20.4400,0.5746
20.4600,0.5750
20.4800,0.5755
20.5000,0.5760
20.5200,0.5762
20.5400,0.5764
20.5600,0.5766
20.5800,0.5768
20.6000,0.5770
20.6200,0.5772
20.6400,0.5774
20.6600,0.5776
20.6800,0.5778
20.7000,0.5780
20.7200,0.5782
20.7400,0.5784
20.7600,0.5786
20.7800,0.5788
20.8000,0.5790
20.8200,0.5792
20.8400,0.5794
20.8600,0.5796
20.8800,0.5798
20.9000,0.5800
20.9200,0.5802
20.9400,0.5804
20.9600,0.5806
20.9800,0.5808
21.0000,0.5810
21.0200,0.5819
21.0400,0.5828
21.0600,0.5836
21.0800,0.5845
21.1000,0.5854
21.1200,0.5863
21.1400,0.5872
21.1600,0.5880
21.1800,0.5889
21.2000,0.5898
21.2200,0.5907
21.2400,0.5916
21.2600,0.5924
21.2800,0.5933
21.3000,0.5942
21.3200,0.5951
21.3400,0.5960
21.3600,0.5968
21.3800,0.5977
21.4000,0.5986
21.4200,0.5995
21.4400,0.6004
21.4600,0.6012
21.4800,0.6021
21.5000,0.6030
21.5200,0.6025
21.5400,0.6020
21.5600,0.6014
21.5800,0.6009
21.6000,0.6004
21.6200,0.5999
21.6400,0.5994
21.6600,0.5988
21.6800,0.5983
21.7000,0.5978
21.7200,0.5973
21.7400,0.5968
21.7600,0.5962
21.7800,0.5957
21.8000,0.5952
21.8200,0.5947
21.8400,0.5942
21.8600,0.5936
21.8800,0.5931
21.9000,0.5926
21.9200,0.5921
21.9400,0.5916
21.9600,0.5910
21.9800,0.5905
22.0000,0.5900
22.0200,0.5897
22.0400,0.5894
22.0600,0.5892
22.0800,0.5889
22.1000,0.5886
22.1200,0.5883
22.1400,0.5880
22.1600,0.5878
22.1800,0.5875
22.2000,0.5872
22.2200,0.5869
22.2400,0.5866
22.2600,0.5864
22.2800,0.5861
22.3000,0.5858
22.3200,0.5855
22.3400,0.5852
22.3600,0.5850
22.3800,0.5847
22.4000,0.5844
22.4200,0.5841
22.4400,0.5838
22.4600,0.5836
22.4800,0.5833
22.5000,0.5830
22.5200,0.5821
22.5400,0.5812
22.5600,0.5802
22.5800,0.5793
22.6000,0.5784
22.6200,0.5775
22.6400,0.5766
22.6600,0.5756
22.6800,0.5747
22.7000,0.5738
22.7200,0.5729
22.7400,0.5720
22.7600,0.5710
22.7800,0.5701
22.8000,0.5692
22.8200,0.5683
22.8400,0.5674
22.8600,0.5664
22.8800,0.5655
22.9000,0.5646
22.9200,0.5637
22.9400,0.5628
22.9600,0.5618
22.9800,0.5609
23.0000,0.5600
23.0200,0.5587
23.0400,0.5574
23.0600,0.5560
23.0800,0.5547
23.1000,0.5534
23.1200,0.5521
23.1400,0.5508
23.1600,0.5494
23.1800,0.5481
23.2000,0.5468
23.2200,0.5455
23.2400,0.5442
23.2600,0.5428
23.2800,0.5415
23.3000,0.5402
23.3200,0.5389
23.3400,0.5376
23.3600,0.5362
23.3800,0.5349
23.4000,0.5336
23.4200,0.5323
23.4400,0.5310
23.4600,0.5296
23.4800,0.5283
23.5000,0.5270
23.5200,0.5265
23.5400,0.5260
23.5600,0.5254
23.5800,0.5249
23.6000,0.5244
23.6200,0.5239
23.6400,0.5234
23.6600,0.5228
23.6800,0.5223
23.7000,0.5218
23.7200,0.5213
23.7400,0.5208
23.7600,0.5202
23.7800,0.5197
23.8000,0.5192
23.8200,0.5187
23.8400,0.5182
23.8600,0.5176
23.8800,0.5171
23.9000,0.5166
23.9200,0.5161
23.9400,0.5156
23.9600,0.5150
23.9800,0.5145
24.0000,0.5140
24.0200,0.5124
24.0400,0.5107
24.0600,0.5091
24.0800,0.5074
24.1000,0.5058
24.1200,0.5042
24.1400,0.5025
24.1600,0.5009
24.1800,0.4992
24.2000,0.4976
24.2200,0.4960
24.2400,0.4943
