# wavelength (microns), QE
17.5800,0.5204
17.6000,0.5190
17.6200,0.5176
17.6400,0.5162
17.6600,0.5148
17.6800,0.5134
17.7000,0.5120
17.7200,0.5106
17.7400,0.5092
17.7600,0.5078
17.7800,0.5064
17.8000,0.5050
17.8200,0.5036
17.8400,0.5022
17.8600,0.5008
17.8800,0.4994
17.9000,0.4980
17.9200,0.4966
17.9400,0.4952
17.9600,0.4938
17.9800,0.4924
18.0000,0.4910
18.0200,0.4908
18.0400,0.4906
18.0600,0.4904
18.0800,0.4902
18.1000,0.4900
18.1200,0.4898
18.1400,0.4896
18.1600,0.4894
18.1800,0.4892
18.2000,0.4890
18.2200,0.4888
18.2400,0.4886
18.2600,0.4884
18.2800,0.4882
18.3000,0.4880
18.3200,0.4878
18.3400,0.4876
18.3600,0.4874
18.3800,0.4872
18.4000,0.4870
18.4200,0.4868
18.4400,0.4866
18.4600,0.4864
18.4800,0.4862
18.5000,0.4860
18.5200,0.4850
18.5400,0.4841
18.5600,0.4831
18.5800,0.4822
18.6000,0.4812
18.6200,0.4802
18.6400,0.4793
18.6600,0.4783
18.6800,0.4774
18.7000,0.4764
18.7200,0.4754
18.7400,0.4745
18.7600,0.4735
18.7800,0.4726
18.8000,0.4716
18.8200,0.4706
18.8400,0.4697
18.8600,0.4687
18.8800,0.4678
18.9000,0.4668
18.9200,0.4658
18.9400,0.4649
18.9600,0.4639
18.9800,0.4630
19.0000,0.4620
19.0200,0.4620
19.0400,0.4619
19.0600,0.4619
19.0800,0.4618
19.1000,0.4618
19.1200,0.4618
19.1400,0.4617
19.1600,0.4617
19.1800,0.4616
19.2000,0.4616
19.2200,0.4616
19.2400,0.4615
19.2600,0.4615
19.2800,0.4614
19.3000,0.4614
19.3200,0.4614
19.3400,0.4613
19.3600,0.4613
19.3800,0.4612
19.4000,0.4612
19.4200,0.4612
19.4400,0.4611
19.4600,0.4611
19.4800,0.4610
19.5000,0.4610
19.5200,0.4599
19.5400,0.4588
19.5600,0.4576
19.5800,0.4565
19.6000,0.4554
19.6200,0.4543
19.6400,0.4532
19.6600,0.4520
19.6800,0.4509
19.7000,0.4498
19.7200,0.4487
19.7400,0.4476
19.7600,0.4464
19.7800,0.4453
19.8000,0.4442
19.8200,0.4431
19.8400,0.4420
19.8600,0.4408
19.8800,0.4397
19.9000,0.4386
19.9200,0.4375
19.9400,0.4364
19.9600,0.4352
19.9800,0.4341
20.0000,0.4330
20.0200,0.4334
20.0400,0.4339
20.0600,0.4343
20.0800,0.4348
20.1000,0.4352
20.1200,0.4356
20.1400,0.4361
20.1600,0.4365
20.1800,0.4370
20.2000,0.4374
20.2200,0.4378
20.2400,0.4383
20.2600,0.4387
20.2800,0.4392
20.3000,0.4396
20.3200,0.4400
20.3400,0.4405
20.3600,0.4409
20.3800,0.4414
20.4000,0.4418
20.4200,0.4422
20.4400,0.4427
20.4600,0.4431
20.4800,0.4436
20.5000,0.4440
20.5200,0.4442
20.5400,0.4444
20.5600,0.4446
20.5800,0.4448
20.6000,0.4450
20.6200,0.4452
20.6400,0.4454
20.6600,0.4456
20.6800,0.4458
20.7000,0.4460
20.7200,0.4462
20.7400,0.4464
20.7600,0.4466
20.7800,0.4468
20.8000,0.4470
20.8200,0.4472
20.8400,0.4474
20.8600,0.4476
20.8800,0.4478
20.9000,0.4480
20.9200,0.4482
20.9400,0.4484
20.9600,0.4486
20.9800,0.4488
21.0000,0.4490
21.0200,0.4498
21.0400,0.4506
21.0600,0.4514
